gene_ID,n_cells,cluster_id,nearest_neighbor_hamming
000100000000000001,11,16,0.05555555555555555
100000010100000000,11,5,0.05555555555555555
010101000000000000,10,9,0.05555555555555555
100100001000000000,10,12,0.05555555555555555
100101001000000000,10,12,0.05555555555555555
100101110000000000,10,15,0.05555555555555555
110000101000000000,10,12,0.05555555555555555
100100100010000000,10,1,0.05555555555555555
100000101000000000,10,12,0.05555555555555555
100110000100000000,9,6,0.05555555555555555
010000110000000000,9,9,0.05555555555555555
000000100010010000,9,3,0.05555555555555555
000010000000000010,9,18,0.05555555555555555
100001000000100000,9,17,0.05555555555555555
110000000010000000,9,1,0.05555555555555555
000100010000000010,9,19,0.05555555555555555
000000101000000000,9,12,0.05555555555555555
100010000000000001,9,16,0.05555555555555555
010000100100000000,9,6,0.05555555555555555
000100100000000010,9,18,0.05555555555555555
000000100001000000,9,20,0.05555555555555555
100010100100000000,9,6,0.05555555555555555
100100010000000010,9,19,0.05555555555555555
011000000000000000,9,3,0.05555555555555555
100000100000000010,8,18,0.05555555555555555
000100010001000000,8,10,0.05555555555555555
100101010001000000,8,14,0.05555555555555555
100011000001000000,8,14,0.05555555555555555
010000000001000000,8,10,0.05555555555555555
110000000100000000,8,6,0.05555555555555555
100001000100000000,8,6,0.05555555555555555
000001000000100000,8,17,0.05555555555555555
100111000001000000,8,14,0.05555555555555555
100110000001000000,8,10,0.05555555555555555
100000100000001000,8,13,0.05555555555555555
000001000001000000,8,14,0.05555555555555555
010000000100000000,8,6,0.05555555555555555
000010000001000000,8,10,0.05555555555555555
100100010000100000,8,19,0.05555555555555555
100000000000010000,8,3,0.05555555555555555
100010010100000000,8,5,0.05555555555555555
000110000000100000,8,17,0.05555555555555555
000100000000000100,8,2,0.05555555555555555
100001110000000000,8,15,0.05555555555555555
000001010000000000,8,14,0.05555555555555555
000000010010000000,8,1,0.05555555555555555
100001010001000000,8,14,0.05555555555555555
110000010001000000,8,10,0.05555555555555555
110000001000000000,8,12,0.05555555555555555
100000010000000010,8,19,0.05555555555555555
000010000000001000,8,13,0.05555555555555555
110011010000000000,8,8,0.05555555555555555
101000100000000000,8,3,0.05555555555555555
110000110100000000,8,6,0.05555555555555555
000110000100000000,7,6,0.05555555555555555
000001000100000000,7,6,0.05555555555555555
100101100000100000,7,17,0.05555555555555555
100001001000000000,7,12,0.05555555555555555
110110100000000000,7,8,0.05555555555555555
100000010000000001,7,16,0.05555555555555555
100010000000001000,7,13,0.05555555555555555
110100100001000000,7,10,0.05555555555555555
110000111000000000,7,12,0.05555555555555555
000010100000100000,7,17,0.05555555555555555
100000000101000000,7,5,0.05555555555555555
000000000000010100,7,2,0.05555555555555555
000101000000000010,7,15,0.05555555555555555
110001010000000000,7,9,0.05555555555555555
100010000000000100,7,2,0.05555555555555555
100100010100000000,7,5,0.05555555555555555
100100010010000000,7,1,0.05555555555555555
001000000010000000,7,1,0.05555555555555555
000010000000000100,7,2,0.05555555555555555
100111010001000000,7,14,0.05555555555555555
100001000010000000,7,1,0.05555555555555555
100110000000001000,7,13,0.05555555555555555
100110010000000010,7,18,0.05555555555555555
000000010000000001,7,16,0.05555555555555555
000100010010000000,7,1,0.05555555555555555
001000000010010100,7,2,0.05555555555555555
010100110000000000,7,9,0.05555555555555555
000000000010000010,7,1,0.05555555555555555
100101000100000000,6,6,0.05555555555555555
110110010000000000,6,8,0.05555555555555555
010001000000000000,6,9,0.05555555555555555
100011000000000010,6,15,0.05555555555555555
100100100000001000,6,13,0.05555555555555555
100101000010000000,6,1,0.05555555555555555
110010110000000000,6,8,0.05555555555555555
000000011000000000,6,12,0.05555555555555555
100000010010000000,6,1,0.05555555555555555
100010010001000000,6,10,0.05555555555555555
100011100000100000,6,17,0.05555555555555555
000010100100000000,6,6,0.05555555555555555
110011000000000000,6,8,0.05555555555555555
100000100000000001,6,16,0.05555555555555555
100110100001000000,6,10,0.05555555555555555
100001000000001000,6,13,0.05555555555555555
100000110100000000,6,5,0.05555555555555555
001000100000010100,6,2,0.05555555555555555
110010010000000000,6,8,0.05555555555555555
000100000000001000,6,13,0.05555555555555555
100100000000000100,6,2,0.05555555555555555
100010100100100000,6,17,0.05555555555555555
000000000000100010,6,18,0.05555555555555555
000001000000000010,6,15,0.05555555555555555
000010000010000000,6,1,0.05555555555555555
000111000000100000,6,17,0.05555555555555555
000010000000000001,6,16,0.05555555555555555
100100010001000000,6,10,0.05555555555555555
100000010000100000,6,19,0.05555555555555555
000110000001000000,5,10,0.05555555555555555
101000100000010000,5,3,0.05555555555555555
000100101000000000,5,12,0.05555555555555555
