gene_ID,n_cells,n_states,pct_cells_covered
100111000001000010,2,616,90.89654516036927
000001010010000000,2,617,90.90606262491673
004000100000010000,2,618,90.91558008946417
000110010000001000,2,619,90.92509755401161
000011000001000000,2,620,90.93461501855906
110010000000000010,2,621,90.9441324831065
110101010001000000,2,622,90.95364994765394
400110100000000000,2,623,90.96316741220139
110100100100000000,2,624,90.97268487674883
110110100100000000,2,625,90.98220234129627
100101100001000000,2,626,90.99171980584373
110011010100000000,2,627,91.00123727039117
000110300000000000,2,628,91.01075473493862
310000101000000000,2,629,91.02027219948606
110101000100000000,2,630,91.0297896640335
000101001000000000,2,631,91.03930712858094
110000300000000000,2,632,91.04882459312839
001000100010010110,2,633,91.05834205767583
100010000000000101,2,634,91.06785952222327
100010011010000000,2,635,91.07737698677073
310110010000000000,2,636,91.08689445131817
310000100000000000,2,637,91.09641191586562
100100100000000100,2,638,91.10592938041306
100001100000001000,2,639,91.1154468449605
400110100001000000,2,640,91.12496430950794
400000100001000000,2,641,91.13448177405539
300100100100000000,2,642,91.14399923860283
100101101000000000,2,643,91.15351670315027
300000000010000000,2,644,91.16303416769773
300100300000000000,2,645,91.17255163224517
500111000000000000,2,646,91.18206909679262
000100010000000001,2,647,91.19158656134006
110001110000000000,2,648,91.2011040258875
110100000000100000,2,649,91.21062149043495
100000000001000001,2,650,91.22013895498239
400101000000000000,2,651,91.22965641952983
000010010100000000,2,652,91.23917388407729
000000000010000100,2,653,91.24869134862473
300010101000000000,2,654,91.25820881317217
010000100010000000,2,655,91.26772627771962
000100100000001000,2,656,91.27724374226706
600110100000000000,2,657,91.2867612068145
110001000100000000,2,658,91.29627867136195
100110000000010100,2,659,91.30579613590939
000001100100000000,2,660,91.31531360045683
010100000010000000,2,661,91.32483106500429
010000000101000000,2,662,91.33434852955173
000000001010000000,2,663,91.34386599409918
300001000000001000,2,664,91.35338345864662
100011000000001000,2,665,91.36290092319406
000101000000001000,2,666,91.3724183877415
110101001000000000,2,667,91.38193585228895
010110010000000000,2,668,91.39145331683639
001010000000000000,2,669,91.40097078138383
000010100000010000,2,670,91.41048824593129
000100010100000000,2,671,91.42000571047873
000100000010001000,2,672,91.42952317502618
010111000000000000,2,673,91.43904063957362
100110310000000000,2,674,91.44855810412106
100101100000100000,2,675,91.4580755686685
101010100000000000,2,676,91.46759303321595
400100010000100000,2,677,91.47711049776339
001000400000010000,2,678,91.48662796231083
000001000000010000,2,679,91.49614542685829
310010100000000000,2,680,91.50566289140573
000011001000000000,2,681,91.51518035595318
000011010000000010,2,682,91.52469782050062
101000000010010000,2,683,91.53421528504806
101000100000010000,2,684,91.5437327495955
310101000000000000,2,685,91.55325021414295
100000000110000000,2,686,91.56276767869039
000101000000010000,2,687,91.57228514323783
500100100000000000,2,688,91.58180260778529
001100100000010000,2,689,91.59132007233273
310100100000000000,2,690,91.60083753688018
100100010000000001,2,691,91.61035500142762
001000000001000000,2,692,91.61987246597506
400110300000000000,2,693,91.6293899305225
100110110000010000,2,694,91.63890739506995
100300300000000000,2,695,91.64842485961739
300000000000000001,2,696,91.65794232416484
000101010001000000,2,697,91.66745978871229
400011000000000000,2,698,91.67697725325974
310010000000000000,2,699,91.68649471780718
100010000010001000,2,700,91.69601218235462
100101000000000001,2,701,91.70552964690206
100400100000000000,2,702,91.71504711144951
110001000010000000,2,703,91.72456457599695
010100110001000000,2,704,91.7340820405444
110100110010000000,2,705,91.74359950509184
100100000010100000,2,706,91.7531169696393
101100010000000000,2,707,91.76263443418674
100000300010100000,2,708,91.77215189873418
300001000001000000,2,709,91.78166936328162
001000100010010100,2,710,91.79118682782907
000001010001000000,2,711,91.80070429237651
410000110000000000,2,712,91.81022175692395
000110000010000010,2,713,91.8197392214714
100101100010000000,2,714,91.82925668601885
010101010000000000,2,715,91.8387741505663
010111010000000000,2,716,91.84829161511374
100110100010000000,2,717,91.85780907966118
000100110001000000,2,718,91.86732654420862
100000010000000100,2,719,91.87684400875607
000001010000000010,2,720,91.88636147330351
100101001000000010,2,721,91.89587893785095
300010000000001000,2,722,91.9053964023984
101000100100000000,2,723,91.91491386694585
100010000000001100,2,724,91.9244313314933
100100000001000010,2,725,91.93394879604074
301111000000000000,2,726,91.94346626058818
000010000001100000,2,727,91.95298372513562
010010000010000000,1,728,91.95774245740935
100111010100100100,1,729,91.96250118968307
100030000100100000,1,730,91.9672599219568
100100110110000001,1,731,91.97201865423051
100000101010001010,1,732,91.97677738650424
310110130110000000,1,733,91.98153611877795
011000000100000000,1,734,91.98629485105168
100100000100101000,1,735,91.9910535833254
100011100000000001,1,736,91.99581231559912
000110111000000000,1,737,92.00057104787285
100000310000000000,1,738,92.00532978014657
130010310000010001,1,739,92.0100885124203
740010340000000011,1,740,92.01484724469401
3101101010100001001,1,741,92.01960597696774
400000310101001001,1,742,92.02436470924145
811411501000110101,1,743,92.02912344151518
410100400000000000,1,744,92.0338821737889
100000311110000000,1,745,92.03864090606262
110001311011011000,1,746,92.04339963833635
6001011300100100000,1,747,92.04815837061007
010001610010000000,1,748,92.0529171028838
010000110301000000,1,749,92.05767583515751
1510111401000100300,1,750,92.06243456743124
4311061310000001031,1,751,92.06719329970495
1330100931000001000,1,752,92.07195203197868
610441310100100301,1,753,92.0767107642524
1103012040110000111,1,754,92.08146949652613
300301110000000001,1,755,92.08622822879985
300111010001000000,1,756,92.09098696107357
100010010000000010,1,757,92.0957456933473
101000100010000110,1,758,92.10050442562101
400010011000000000,1,759,92.10526315789474
000011000001000010,1,760,92.11002189016845
300110000000001000,1,761,92.11478062244218
110000010001000010,1,762,92.1195393547159
300000010000001000,1,763,92.12429808698963
410011000000000000,1,764,92.12905681926335
000100000100000010,1,765,92.13381555153707
001000000001000110,1,766,92.1385742838108
100101000001000010,1,767,92.14333301608451
500000100010000100,1,768,92.14809174835824
400100300000000100,1,769,92.15285048063195
5120010180011000100,1,770,92.15760921290568
100101011000000010,1,771,92.1623679451794
600101001000000000,1,772,92.16712667745313
300040000000000000,1,773,92.17188540972685
300001100010000000,1,774,92.17664414200057
300101011001001010,1,775,92.1814028742743
100000000030000000,1,776,92.18616160654801
100011100000000010,1,777,92.19092033882174
000101010000100000,1,778,92.19567907109546
010010000010000010,1,779,92.20043780336918
400100011100000000,1,780,92.2051965356429
101010000000100000,1,781,92.20995526791663
110101010000000000,1,782,92.21471400019036
301000010001000000,1,783,92.21947273246407
300000011000010100,1,784,92.2242314647378
500103010000000000,1,785,92.22899019701151
000300010011000010,1,786,92.23374892928524
300001100000000040,1,787,92.23850766155896
100111010000000010,1,788,92.24326639383268
300010000001000000,1,789,92.2480251261064
400001000001000010,1,790,92.25278385838013
000010010000000010,1,791,92.25754259065386
400004101001000010,1,792,92.26230132292757
000111011001000010,1,793,92.2670600552013
400001011000000000,1,794,92.27181878747501
410010001000000000,1,795,92.27657751974874
310010110000000000,1,796,92.28133625202246
300010000000000010,1,797,92.28609498429618
103000000010000400,1,798,92.2908537165699
100111000010000010,1,799,92.29561244884363
100101110001000010,1,800,92.30037118111736
300000000001000010,1,801,92.30512991339107
101110000000040010,1,802,92.3098886456648
300111100100000000,1,803,92.31464737793851
110130010010000000,1,804,92.31940611021224
100040100000000000,1,805,92.32416484248596
010110000000000010,1,806,92.32892357475968
000101000010100000,1,807,92.33368230703341
110100310000000000,1,808,92.33844103930713
400131110010000000,1,809,92.34319977158086
000011010010100000,1,810,92.34795850385457
001100100010000100,1,811,92.3527172361283
100101110031000000,1,812,92.35747596840201
110501100011000000,1,813,92.36223470067574
410511100100000000,1,814,92.36699343294946
300110010001110000,1,815,92.37175216522319
400331011011000000,1,816,92.37651089749691
400010010010000000,1,817,92.38126962977063
100101000000000011,1,818,92.38602836204436
110011010001000000,1,819,92.39078709431807
400100030000000010,1,820,92.3955458265918
100111010001001000,1,821,92.40030455886551
100001010001101000,1,822,92.40506329113924
100111000000000001,1,823,92.40982202341296
100000000110000010,1,824,92.41458075568669
100000010001001000,1,825,92.41933948796041
010110030001000000,1,826,92.42409822023413
000100011001000000,1,827,92.42885695250786
110100000010000000,1,828,92.43361568478157
100110011000000000,1,829,92.4383744170553
400110010100000000,1,830,92.44313314932901
300000110010000000,1,831,92.44789188160274
100000001000000100,1,832,92.45265061387646
100300010000010000,1,833,92.45740934615019
100101000001100000,1,834,92.46216807842391
001000100010000001,1,835,92.46692681069763
300000100000000010,1,836,92.47168554297136
410010100000001000,1,837,92.47644427524507
010000111000000100,1,838,92.4812030075188
300101000010000000,1,839,92.48596173979251
110100100001100010,1,840,92.49072047206624
100104000000000000,1,841,92.49547920433996
110110000010100000,1,842,92.50023793661369
300110100011000000,1,843,92.50499666888742
000110010000010000,1,844,92.50975540116113
100110100000010000,1,845,92.51451413343486
600103000000000000,1,846,92.51927286570857
100010010000000011,1,847,92.5240315979823
001101110000000100,1,848,92.52879033025602
100110000100000010,1,849,92.53354906252974
010000000000000001,1,850,92.53830779480346
310310100000001000,1,851,92.54306652707719
000100100010000100,1,852,92.54782525935092
300010000000100100,1,853,92.55258399162463
001100010000000000,1,854,92.55734272389836
000010001000100000,1,855,92.56210145617207
100000000010001000,1,856,92.5668601884458
100100001010000000,1,857,92.57161892071952
130100110000000000,1,858,92.57637765299324
110101000000100000,1,859,92.58113638526696
400010100000100000,1,860,92.58589511754069
100010010001000010,1,861,92.59065384981442
310110110100000010,1,862,92.59541258208813
400101110000000000,1,863,92.60017131436186
100010001000000100,1,864,92.60493004663557
100300100001010000,1,865,92.6096887789093
300330100100100000,1,866,92.61444751118302
100000110100001000,1,867,92.61920624345674
400010000000000001,1,868,92.62396497573046
300100001000010000,1,869,92.62872370800419
110010101000000000,1,870,92.63348244027792
300000010000100100,1,871,92.63824117255163
010010000000001000,1,872,92.64299990482536
300110030000000100,1,873,92.64775863709907
000000000000000110,1,874,92.6525173693728
110100010000100000,1,875,92.65727610164652
000104000000001000,1,876,92.66203483392025
100011110000000010,1,877,92.66679356619396
100100310001000000,1,878,92.67155229846769
