,gene1,gene2,both,odds_ratio,pvalue,n1,n2,expected,FDR,log2_OR,testable,exclusivity_reliable
21,MMP1,VEGFA,659,2.0298282233930824,4.4921610476732075e-40,1691,6995,420.0030181443738,1.2727789635074087e-39,1.0213576428071371,True,True
22,MMP1,DLL4,486,2.5777721488015053,1.8561337004166844e-55,1691,4069,244.31626602279587,6.4542830946307444e-55,1.366124748446812,True,True
23,MMP1,ITGA6,55,2.137310101223931,1.8640479895372122e-06,1691,468,28.100273408372686,2.396633129404987e-06,1.0957962430661343,True,True
24,MMP1,SEMA3F,245,3.566660797839505,1.2899740532013059e-51,1691,1447,86.88268295281043,4.2905658726043434e-51,1.8345740168856728,True,True
25,MMP1,JAG1,109,1.2683603003137063,0.028036816142841828,1691,1478,88.74402584951888,0.030860668128451795,0.34296462689617613,True,True
26,MMP1,FLT1,203,2.720964822953076,1.5988894544961998e-29,1691,1469,88.20363597628094,4.0103292875068614e-29,1.4441183053273199,True,True
27,MMP1,PDGFB,124,1.75453856859967,8.470210195459338e-08,1691,1270,76.25501544579768,1.1570912142011418e-07,0.8110916616847356,True,True
28,MMP1,COL1A2,54,0.5206855590565164,3.275998466925674e-07,1691,1644,98.71121684479637,4.3967347845581414e-07,-0.9415157000018257,True,True
29,MMP1,APLN,72,2.885058146790258,5.720730310846784e-13,1691,476,28.580619962361965,9.834513905163571e-13,1.528600395903889,True,True
30,MMP1,PDGFRB,37,0.5746692016478883,0.00040402618670437617,1691,1041,62.505095337854634,0.00048293755129507466,-0.7991963622626413,True,True
31,MMP1,ANGPT2,118,1.9035257494435205,2.82390411373026e-09,1691,1125,67.54873415474204,4.15439739808394e-09,0.9286740857095854,True,True
32,MMP1,ICAM1,65,1.7439662390815303,9.242195364312793e-05,1691,662,39.748677342612645,0.00011403676538224656,0.8023721116853104,True,True
33,COL1A1,KDR,104,0.13711221574472007,7.710670274469357e-153,2230,6946,549.9975144693392,6.554069733298954e-152,-2.866570983950856,True,True
34,COL1A1,VWF,104,0.1954025871856086,4.725187919325307e-93,2230,5315,420.85182686503566,2.677606487617674e-92,-2.3554785257635746,True,True
35,COL1A1,PECAM1,83,0.17482462893746817,7.490178020376096e-91,2230,4801,380.15232752192594,4.0928472754197955e-90,-2.516019651793765,True,True
36,COL1A1,VEGFA,1316,5.133913847347257,4.788432359223607e-283,2230,6995,553.8774278308418,7.32630150961212e-282,2.360059086126081,True,True
37,COL1A1,DLL4,85,0.21952722942160602,1.7186299794730264e-65,2230,4069,322.1911728153961,6.9197470226150795e-65,-2.187528196971357,True,True
38,COL1A1,ITGA6,21,0.554193736796793,0.00421507376713907,2230,468,37.05713169761744,0.004777083602757613,-0.8515376885488446,True,True
39,COL1A1,SEMA3F,48,0.38957564209439877,1.8325661223569747e-13,2230,1447,114.57621702233426,3.222788697938128e-13,-1.3600246180014421,True,True
