state_code,binary_state,n_cells,pct_all_cells,pct_expressed_cells,cluster_id,nearest_neighbor_hamming
6_8,000001010000000000,8,0.03806985818977824,0.059268039709586606,21,0.05555555555555555
6_13,000001000000100000,8,0.03806985818977824,0.059268039709586606,17,0.05555555555555555
6_12,000001000001000000,8,0.03806985818977824,0.059268039709586606,21,0.05555555555555555
8_11,000000010010000000,8,0.03806985818977824,0.059268039709586606,14,0.05555555555555555
1_2_7_8_10,110000110100000000,8,0.03806985818977824,0.059268039709586606,6,0.05555555555555555
1_2_7_8_9,110000111000000000,7,0.033311125916055964,0.05185953474588828,12,0.05555555555555555
1_4_8_10,100100010100000000,7,0.033311125916055964,0.05185953474588828,9,0.05555555555555555
1_6_9,100001001000000000,7,0.033311125916055964,0.05185953474588828,12,0.05555555555555555
2_4_7_8,010100110000000000,7,0.033311125916055964,0.05185953474588828,3,0.05555555555555555
1_4_8_11,100100010010000000,7,0.033311125916055964,0.05185953474588828,14,0.05555555555555555
1_2_4_5_7,110110100000000000,7,0.033311125916055964,0.05185953474588828,6,0.05555555555555555
1_6_11,100001000010000000,7,0.033311125916055964,0.05185953474588828,14,0.05555555555555555
1_4_6_7_13,100101100000100000,7,0.033311125916055964,0.05185953474588828,17,0.05555555555555555
1_2_4_7_12,110100100001000000,7,0.033311125916055964,0.05185953474588828,8,0.05555555555555555
1_4_5_6_8_12,100111010001000000,7,0.033311125916055964,0.05185953474588828,7,0.05555555555555555
1_4_5_15,100110000000001000,7,0.033311125916055964,0.05185953474588828,20,0.05555555555555555
5_16,000010000000000100,7,0.033311125916055964,0.05185953474588828,1,0.05555555555555555
5_7_13,000010100000100000,7,0.033311125916055964,0.05185953474588828,17,0.05555555555555555
11_17,000000000010000010,7,0.033311125916055964,0.05185953474588828,13,0.05555555555555555
1_5_16,100010000000000100,7,0.033311125916055964,0.05185953474588828,1,0.05555555555555555
1_5_15,100010000000001000,7,0.033311125916055964,0.05185953474588828,20,0.05555555555555555
4_6_17,000101000000000010,7,0.033311125916055964,0.05185953474588828,13,0.05555555555555555
4_8_11,000100010010000000,7,0.033311125916055964,0.05185953474588828,14,0.05555555555555555
1_4_5_8_17,100110010000000010,7,0.033311125916055964,0.05185953474588828,13,0.05555555555555555
14_16,000000000000010100,7,0.033311125916055964,0.05185953474588828,1,0.05555555555555555
1_10_12,100000000101000000,7,0.033311125916055964,0.05185953474588828,9,0.05555555555555555
3_11,001000000010000000,7,0.033311125916055964,0.05185953474588828,2,0.05555555555555555
6_10,000001000100000000,7,0.033311125916055964,0.05185953474588828,21,0.05555555555555555
3_11_14_16,001000000010010100,7,0.033311125916055964,0.05185953474588828,1,0.05555555555555555
1_8_18,100000010000000001,7,0.033311125916055964,0.05185953474588828,15,0.05555555555555555
4_5_10,000110000100000000,7,0.033311125916055964,0.05185953474588828,10,0.05555555555555555
8_18,000000010000000001,7,0.033311125916055964,0.05185953474588828,15,0.05555555555555555
1_2_6_8,110001010000000000,7,0.033311125916055964,0.05185953474588828,5,0.05555555555555555
1_4_6_11,100101000010000000,6,0.02855239364233368,0.044451029782189955,14,0.05555555555555555
