gene_ID,n_cells,cluster_id,nearest_neighbor_hamming
100101100000000000,23,17,0.05555555555555555
000100000000100000,23,13,0.05555555555555555
110100000000000000,22,8,0.05555555555555555
000000100000100000,22,17,0.05555555555555555
100100000000100000,22,13,0.05555555555555555
000100000010000000,22,12,0.05555555555555555
300100100000000000,21,17,0.05555555555555555
300101000000000000,21,11,0.05555555555555555
100010000100000000,20,5,0.05555555555555555
100000000000000100,20,3,0.05555555555555555
001000100010000000,19,1,0.05555555555555555
000111000000000000,19,11,0.05555555555555555
000010000000100000,19,13,0.05555555555555555
101000000000000000,19,2,0.05555555555555555
000000100000000100,19,3,0.05555555555555555
000100000100000000,18,5,0.05555555555555555
300010100000000000,18,14,0.05555555555555555
100100000100000000,18,5,0.05555555555555555
300010000000000000,18,14,0.05555555555555555
000101010000000000,17,11,0.05555555555555555
300001000000000000,17,11,0.05555555555555555
000000010001000000,17,4,0.05555555555555555
001000000010010000,17,1,0.05555555555555555
100000100100000000,17,17,0.05555555555555555
100001010000000000,17,11,0.05555555555555555
100000100000100000,16,17,0.05555555555555555
100000001000000000,16,9,0.05555555555555555
100110000000100000,16,13,0.05555555555555555
000000300000000000,16,17,0.05555555555555555
110000010000000000,16,8,0.05555555555555555
000110010000000000,16,11,0.05555555555555555
100000100010000000,16,12,0.05555555555555555
010100100000000000,15,8,0.05555555555555555
000000100000000010,15,7,0.05555555555555555
000010000100000000,15,5,0.05555555555555555
010000010000000000,15,8,0.05555555555555555
100100000010000000,15,12,0.05555555555555555
300110000000000000,15,17,0.05555555555555555
000000100000000001,15,16,0.05555555555555555
000100110000000000,15,10,0.05555555555555555
100100100100000000,15,6,0.05555555555555555
000100001000000000,14,9,0.05555555555555555
100100000000000001,14,16,0.05555555555555555
100011100000000000,14,17,0.05555555555555555
001000000000010100,14,3,0.05555555555555555
100010000001000000,14,14,0.05555555555555555
100010000000000010,14,7,0.05555555555555555
000100100010000000,13,12,0.05555555555555555
110100010000000000,13,8,0.05555555555555555
001000100000000100,13,3,0.05555555555555555
100100100001000000,13,4,0.05555555555555555
010010000000000000,13,14,0.05555555555555555
000000000010010000,13,1,0.05555555555555555
001000000000000100,13,3,0.05555555555555555
300000010000000000,13,10,0.05555555555555555
100011010000000000,13,11,0.05555555555555555
100100100000100000,12,13,0.05555555555555555
000100100000100000,12,13,0.05555555555555555
400100100000000000,12,17,0.05555555555555555
100100100000000010,12,7,0.05555555555555555
100111100000000000,12,17,0.05555555555555555
100100000000001000,12,15,0.05555555555555555
100000000000001000,12,15,0.05555555555555555
100001000000000010,12,7,0.05555555555555555
110101000000000000,11,8,0.05555555555555555
001000100010010000,11,1,0.05555555555555555
100111010000000000,11,11,0.05555555555555555
100101000000000010,11,7,0.05555555555555555
100010110000000000,11,10,0.05555555555555555
000100000000000001,11,16,0.05555555555555555
000100000001000000,11,4,0.05555555555555555
100100101000000000,11,9,0.05555555555555555
110001000000000000,11,8,0.05555555555555555
110010000000000000,11,14,0.05555555555555555
010101000000000000,10,8,0.05555555555555555
100010100000100000,10,13,0.05555555555555555
100100001000000000,10,9,0.05555555555555555
000101100000000000,10,17,0.05555555555555555
100000100001000000,10,4,0.05555555555555555
300101100000000000,10,17,0.05555555555555555
110110000000000000,10,14,0.05555555555555555
100100100010000000,9,12,0.05555555555555555
000100100000000010,9,7,0.05555555555555555
300111000000000000,9,11,0.05555555555555555
100010100100000000,9,6,0.05555555555555555
000000100001000000,9,4,0.05555555555555555
100000010100000000,9,5,0.05555555555555555
000100010000000010,9,7,0.05555555555555555
000000100010010000,9,1,0.05555555555555555
000010000000000010,9,7,0.05555555555555555
100001000000100000,9,11,0.05555555555555555
011000000000000000,9,1,0.05555555555555555
300100010000000000,9,10,0.05555555555555555
100000300000000000,8,17,0.05555555555555555
100100300000000000,8,17,0.05555555555555555
100010000000000001,8,14,0.05555555555555555
010000000001000000,8,4,0.05555555555555555
