,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
53,m4_2025.02.27_fl32_fl33__FL33_3/P 4,"(3, 20, 512, 512)",6363672.0,33295343.0,4525936.0,31091573.0,28793197.051840782,107009621.19159442,2523649.660148561,0.0081480587175111,8.148058717511109e-07,False,False,False,unknown
54,m4_2025.02.27_fl32_fl33__FL33_3/P 3,"(3, 20, 512, 512)",5528934.0,22819422.0,4780285.0,23902992.0,22391294.419793136,113411523.82364208,1993040.719313401,0.0061882434564705,6.18824345647052e-07,False,False,False,unknown
56,m4_2025.02.27_fl32_fl33__Bead_4/P 4,"(3, 29, 512, 512)",18656284.0,82500086.0,10143486.0,87429551.0,52803587.37419672,144727784.61625448,3593288.9244077355,0.012323339325762,1.2323339325762072e-06,True,False,False,unknown
57,m4_2025.02.27_fl32_fl33__Bead_4/P 1,"(3, 21, 512, 512)",11745830.0,61482786.0,7146293.0,69703123.0,36015826.84617271,105959846.77196407,2173254.7201211145,0.0099578956943443,9.95789569434435e-07,True,False,False,unknown
58,m4_2025.02.27_fl32_fl33__Bead_4/P 3,"(3, 26, 512, 512)",12407269.0,68594167.0,8660049.0,76618862.0,49326258.1760437,126600120.00295188,2863702.1006214963,0.0067712240650167,6.771224065016769e-07,True,False,False,unknown
59,m4_2025.02.27_fl32_fl33__Bead_4/P 2,"(3, 21, 512, 512)",9144671.0,45213857.0,6795194.0,51268153.0,36731107.96976103,105244565.64837576,2449682.1265223026,0.0063046737457158,6.304673745715823e-07,True,False,False,unknown
61,m4_2025.02.27_fl32_fl33__rLN1_4/P 4,"(3, 28, 512, 512)",12404464.0,101170085.0,9667201.0,94933466.0,57843663.12908861,133514853.486661,3529997.862559568,0.00337281039563,3.372810395630051e-07,False,True,False,unknown
62,m4_2025.02.27_fl32_fl33__rLN1_4/P 2,"(3, 25, 512, 512)",9456365.0,57067248.0,7684889.0,54479231.0,39759643.94515693,129993878.85913706,2878147.2137798616,0.0047495156851031,4.749515685103109e-07,False,True,False,unknown
63,m4_2025.02.27_fl32_fl33__rLN1_4/P 3,"(3, 27, 512, 512)",9667291.0,48039307.0,8892139.0,49350833.0,31938399.485190943,150160834.06850624,2708072.854322544,0.002950997485917,2.950997485917068e-07,False,True,False,unknown
64,m4_2025.02.27_fl32_fl33__rLN1_4/P 1,"(3, 27, 512, 512)",9852460.0,76697846.0,7693762.0,69525982.0,48831629.59948542,133267603.95421176,3518817.933397634,0.0036728428090766,3.672842809076608e-07,False,True,False,unknown
66,m4_2025.02.27_fl32_fl33__FL32_4/P 2,"(3, 27, 512, 512)",11736636.0,67300732.0,9053926.0,67029491.0,40105581.362415165,141993652.19128203,2764808.787094447,0.0066013090640102,6.601309064010248e-07,False,False,False,unknown
67,m4_2025.02.27_fl32_fl33__FL32_4/P 3,"(3, 21, 512, 512)",19698230.0,40135017.0,17857789.0,49009154.0,35593689.47777109,106381984.1403657,3553654.0108539416,0.0049128698774369,4.912869877436938e-07,False,False,False,unknown
68,m4_2025.02.27_fl32_fl33__FL32_4/P 4,"(3, 22, 512, 512)",10721356.0,25363847.0,8631219.0,26175514.0,19479165.879031774,128669363.1138066,1745419.9224745166,0.0243956028068237,2.439560280682374e-06,False,False,False,unknown
